"baseMean","log2FoldChange","lfcSE","pvalue","padj","ENSEMBL","SYMBOL","ENTREZID"
325.444858444591,4.945901685787,0.169641834256122,2.41757837002762e-189,6.87158877018319e-187,"ENSG00000155886","SLC24A2","25769"
1363.9041762684,3.36880816725438,0.114958343449241,4.6697829945024e-189,1.30689265312297e-186,"ENSG00000166851","PLK1","5347"
1186.87522494738,3.61934741425847,0.124187255766898,1.86890557610781e-188,5.15110020226927e-186,"ENSG00000165304","MELK","9833"
791.249601933274,-3.13186610159445,0.107337560141228,1.35474029665767e-187,3.67822100544771e-185,"ENSG00000186642","PDE2A","5138"
3652.11642756367,-2.04160075571949,0.0701654437046339,6.43717860800476e-187,1.72203994203257e-184,"ENSG00000122729","ACO1","48"
3267.93162072587,-4.51770005159231,0.154962353473535,7.620210539322e-187,2.00897463653343e-184,"ENSG00000079435","LIPE","3991"
1855.85755102656,3.53939174771808,0.121732870395984,8.72421930038261e-186,2.26717533276086e-183,"ENSG00000104415","CCN4","8840"
772.894974358165,3.01159748380461,0.104248738056786,4.61322287259625e-185,1.18195967993519e-182,"ENSG00000072571","HMMR","3161"
646.204827465857,3.1521846765039,0.109192846433449,4.15538080780343e-184,1.049868503816e-181,"ENSG00000161888","SPC24","147841"
2000.00723196273,3.14609777821428,0.109250129543505,1.43861964162962e-183,3.58492190423075e-181,"ENSG00000237649","KIFC1","3833"
3195.15033512115,3.38782371785617,0.117647173738251,2.36040350969068e-183,5.80244597902476e-181,"ENSG00000171848","RRM2","6241"
685.12755671393,3.5310435496481,0.123387422730369,4.46944361334436e-183,1.0840486502713e-180,"ENSG00000186185","KIF18B","146909"
1019.95100844118,3.28968516510948,0.114393520646728,9.39354274672292e-183,2.2483938961268e-180,"ENSG00000126787","DLGAP5","9787"
8258.71873967966,-4.70831289391763,0.16326568643721,2.40954295119075e-182,5.69246699027414e-180,"ENSG00000175445","LPL","4023"
766.602164338452,1.85968780883231,0.0994998731665032,4.65686855949355e-182,1.08606533289419e-179,"ENSG00000075702","WDR62","284403"
27.0022480279583,-2.71239620855016,0.0944956388669916,6.15859004956738e-182,1.41811280495798e-179,"ENSG00000258311",NA,NA
110.929409122301,-2.89507517346157,0.100823600347659,7.20436253372076e-182,1.63818198563643e-179,"ENSG00000077616","NAALAD2","10003"
33.5240947766006,-3.77257176087504,0.131829189137076,1.03258589001748e-180,2.31898394139604e-178,"ENSG00000185271","KLHL33","123103"
1169.18306805326,-3.0443815612448,0.106531584940733,6.27857651365562e-180,1.39284860195012e-177,"ENSG00000164330","EBF1","1879"
1352.97093051218,-3.00587941611806,0.105093280794983,9.0494888320625e-180,1.98336447402469e-177,"ENSG00000176438","SYNE3","161176"
2932.75068269341,2.55262068953275,0.0897659494042885,3.50218719465584e-179,7.58431991166482e-177,"ENSG00000134057","CCNB1","891"
1871.5923032415,3.53230673656309,0.123887360127659,4.27568610342276e-179,9.15047128321923e-177,"ENSG00000066279","ASPM","259266"
1740.6714258684,-3.65853822299311,0.128372751167863,6.23575398549077e-179,1.31900698546584e-176,"ENSG00000135424","ITGA7","3679"
1432.40508839454,-2.43261867724164,0.0853578549669983,7.00714177242649e-179,1.46513696531276e-176,"ENSG00000138640","FAM13A","10144"
57.4242893912386,-4.99052041862666,0.175335960241862,7.11903035324693e-179,1.47161683131721e-176,"ENSG00000170509","HSD17B13","345275"
4418.29145762285,-2.01799578603929,0.0713182457996056,3.62970717711567e-178,7.41887677066417e-176,"ENSG00000109686","SH3D19","152503"
819.34250102114,3.41983308785214,0.120839759614117,3.82977072334296e-178,7.74081769203686e-176,"ENSG00000174371","EXO1","9156"
1368.78049148113,3.19786084073697,0.112960740805503,5.21131101769368e-178,1.04174679915237e-175,"ENSG00000164611","PTTG1","9232"
200.010644082881,3.38364196806188,0.119775018997818,1.05571343433513e-177,2.08744381347722e-175,"ENSG00000109674","NEIL3","55247"
580.088247605998,2.88933004294981,0.102112960930447,1.4041970731098e-177,2.74663967278929e-175,"ENSG00000100526","CDKN3","1033"
1458.45274743216,3.09230073758951,0.109749643792308,3.55418034178629e-176,6.87809516993982e-174,"ENSG00000087586","AURKA","6790"
1893.37866045141,2.64033855257718,0.0937644944675205,2.19350606413653e-175,4.20021776975871e-173,"ENSG00000123975","CKS2","1164"
712.770842234061,6.88440820882928,0.24530813716593,2.98688619988249e-175,5.65983821479816e-173,"ENSG00000170373","CST1","1469"
2751.8796905076,-2.8815178611588,0.102234296951451,3.86878221167547e-175,7.25536259923593e-173,"ENSG00000105971","CAV2","858"
3866.40430330942,-2.66195555016995,0.0945529906354759,7.75107114594941e-175,1.43877280832618e-172,"ENSG00000174804","FZD4","8322"
1437.39938976517,3.30174946208558,0.117716135543,1.03724446639332e-174,1.90591051395565e-172,"ENSG00000142945","KIF2C","11004"
1793.69775693686,-4.94022592227929,0.175717345416445,6.5659141009832e-174,1.19440543410985e-171,"ENSG00000244734","HBB","3043"
3767.52236654887,-2.09863285570587,0.0749812599993279,1.80832132480642e-173,3.22501698230918e-171,"ENSG00000077157","PPP1R12B","4660"
2370.33637978276,2.56048850772675,0.091379019482607,1.79397889011792e-173,3.22501698230918e-171,"ENSG00000122952","ZWINT","11130"
1037.7127447307,-3.37452774714825,0.120680398359536,2.41455336311886e-172,4.26438254645584e-170,"ENSG00000132170","PPARG","5468"
1007.38407439166,-3.99432266405135,0.142925448600495,7.40084937683023e-172,1.29450818282614e-169,"ENSG00000165810","BTNL9","153579"
2418.67592693817,-2.89496639130813,0.103824100844651,1.2356329573594e-171,2.14070467879284e-169,"ENSG00000099260","PALMD","54873"
256.696917694964,-3.099747970279,0.111235348825912,1.5933194532507e-171,2.73434662019656e-169,"ENSG00000137727","ARHGAP20","57569"
2535.31043775374,3.36057925802261,0.121187469325375,5.17366834698503e-171,8.7957197102808e-169,"ENSG00000011426","ANLN","54443"
3243.8997602478,-2.5575793174832,0.0920109754465252,5.35618510204969e-171,9.0217002954987e-169,"ENSG00000180354","MTURN","222166"
473.146828710458,3.35850716430616,0.121243528128281,1.95028196328563e-170,3.25482377927788e-168,"ENSG00000154839","SKA1","220134"
427.388566933474,2.82034409303005,0.101702391530181,2.64897164765732e-170,4.38067665841222e-168,"ENSG00000162062","TEDC2","80178"
2491.41585845488,4.2767475576564,0.155187713557757,9.69258958814719e-170,1.58844952430618e-167,"ENSG00000165474","GJB2","2706"
2430.82192396472,-4.11225535149972,0.148143681299943,1.20789230821473e-169,1.96185437310127e-167,"ENSG00000168477","TNXB","7148"
917.798965059044,3.18808978820172,0.115251141896571,1.32940333934419e-169,2.14010408371772e-167,"ENSG00000080986","NDC80","10403"
65.2194595686027,-2.69287496789997,0.097337651229491,4.75401956645068e-169,7.58599736257056e-167,"ENSG00000164849","GPR146","115330"
762.879663715359,-3.36326127060613,0.121479641963321,4.81199846969491e-169,7.61174470975826e-167,"ENSG00000118596","SLC16A7","9194"
729.818095763256,-3.52237735687712,0.127220769949672,5.0227878396426e-169,7.87668393025332e-167,"ENSG00000149090","PAMR1","25891"
7585.03951169792,4.50235335842252,0.160763305646933,1.16928536129876e-168,1.81798888952015e-166,"ENSG00000105664","COMP","1311"
3120.09026667024,-1.79414452993019,0.0651029883142321,2.69417983916349e-168,4.15337503849349e-166,"ENSG00000205726","ITSN1","6453"
